Id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,Age,age_group,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,Rank,Value
28,Claudine,Barstowk,Female,71,7/20/1966,57,Middle Age,Nurse,Property,High Net Worth,N,Yes,5,1859 Forest Circle,4000,QLD,Australia,11,26,1.46875
29,Blinnie,Roze,Female,84,12/10/1960,62,Old,Librarian,Entertainment,High Net Worth,N,No,11,44557 Rutledge Court,4171,QLD,Australia,7,26,1.46875
30,Rhona,De Freyne,Female,45,11/22/1960,62,Old,,Health,High Net Worth,N,No,8,11184 East Drive,3056,VIC,Australia,10,30,1.4609375
31,Sharron,Claibourn,Female,62,1/26/1980,43,Middle Age,,Financial Services,High Net Worth,N,Yes,17,555 Hermina Avenue,2280,NSW,Australia,8,30,1.4609375
32,Brien,Heaton,Male,70,11/28/1951,71,Old,Clinical Specialist,Health,Mass Customer,N,Yes,12,8 Novick Trail,2470,NSW,Australia,2,32,1.453125
33,Sybilla,MacCart,Female,88,1/15/1987,36,Young,Paralegal,Financial Services,Mass Customer,N,Yes,7,74 Welch Pass,2620,NSW,Australia,7,32,1.453125
34,Mikel,McNess,Male,71,9/22/1981,41,Middle Age,Nurse,n/a,Mass Customer,N,No,9,3 Pleasure Drive,4122,QLD,Australia,9,32,1.453125
35,Maisie,Maddox,Female,27,5/9/1977,46,Middle Age,Assistant Manager,Financial Services,Affluent Customer,N,No,20,8 Dennis Point,3226,VIC,Australia,9,32,1.453125
36,Arleen,Casbolt,Female,48,5/10/1975,48,Middle Age,Senior Quality Engineer,Financial Services,Affluent Customer,N,Yes,13,41042 Lotheville Crossing,4817,QLD,Australia,1,36,1.44765625
37,Farlie,Petford,Male,76,3/25/1968,55,Middle Age,Recruiting Manager,n/a,High Net Worth,N,No,13,2330 Butternut Trail,2017,NSW,Australia,10,36,1.44765625
38,Mitchell,MacCague,Male,58,4/11/1979,44,Middle Age,,Manufacturing,Mass Customer,N,No,15,240 Acker Avenue,3190,VIC,Australia,8,38,1.4375
39,Garik,Whitwell,Male,44,6/13/1955,68,Old,,Property,Mass Customer,N,Yes,13,04 Dexter Way,3280,VIC,Australia,2,38,1.4375
40,Antonin,Britt,Male,64,8/28/1993,30,Young,,Manufacturing,Affluent Customer,N,Yes,8,011 Northland Trail,2160,NSW,Australia,9,40,1.434375
41,Vinny,Incogna,Female,73,2/13/1953,70,Old,,Health,High Net Worth,N,No,10,8 Grayhawk Circle,2756,NSW,Australia,8,40,1.434375
42,Colene,Fishleigh,Female,24,3/14/1985,38,Young,Design Engineer,Financial Services,Mass Customer,N,No,3,44 Darwin Lane,3149,VIC,Australia,10,42,1.421875
43,Neile,Argent,Female,79,10/25/1946,76,Old,,Retail,Mass Customer,N,No,8,2548 Arrowood Pass,2024,NSW,Australia,10,42,1.421875
44,Corinna,Suggey,Female,52,9/18/1966,56,Middle Age,Design Engineer,n/a,Affluent Customer,N,No,9,938 Ilene Road,2761,NSW,Australia,8,44,1.42109375
45,Brooke,Arling,Male,76,12/5/1961,61,Old,,n/a,High Net Worth,N,No,6,6 Melby Center,3027,VIC,Australia,5,44,1.42109375
46,Gipsy,Ewestace,Female,29,8/30/1956,67,Old,Business Systems Development Analyst,Retail,High Net Worth,N,Yes,5,08708 Moulton Park,2034,NSW,Australia,12,46,1.4078125
47,Sheena,Kybbye,Female,14,7/16/1956,67,Old,Paralegal,Financial Services,Affluent Customer,N,Yes,19,306 Clemons Junction,4852,QLD,Australia,1,46,1.4078125
48,Jobina,Gobourn,Female,85,12/4/1994,28,Young,VP Quality Control,n/a,High Net Worth,N,Yes,14,18 Grim Road,4305,QLD,Australia,4,46,1.4078125
49,Gale,Disbrow,Female,59,5/14/1977,46,Middle Age,Cost Accountant,Financial Services,Mass Customer,N,Yes,17,169 Bashford Drive,3741,VIC,Australia,7,46,1.4078125
50,Thaxter,Kingsbury,Male,12,5/3/1950,73,Old,Product Engineer,Argiculture,Mass Customer,N,No,20,3 Vermont Lane,2067,NSW,Australia,12,50,1.40625
51,Heinrick,Shilstone,Male,60,2/11/1978,45,Middle Age,,Manufacturing,Affluent Customer,N,No,10,998 Gale Park,3174,VIC,Australia,8,50,1.40625
52,Taylor,Steuhlmeyer,Male,62,3/22/1999,24,Young,Paralegal,Financial Services,Affluent Customer,N,Yes,5,64 Mcguire Trail,4017,QLD,Australia,8,52,1.39453125
53,Griswold,Kelsall,Male,55,12/19/1993,29,Young,Social Worker,Health,High Net Worth,N,Yes,11,74127 Blaine Point,3805,VIC,Australia,7,52,1.39453125
54,Odessa,Mc Andrew,Female,97,12/1/1981,41,Middle Age,,Property,Mass Customer,N,No,8,31756 Meadow Valley Lane,2232,NSW,Australia,10,54,1.38125
55,Lavena,Seekings,Female,87,3/25/1995,28,Young,Payment Adjustment Coordinator,Retail,Mass Customer,N,No,16,293 Mayfield Street,3166,VIC,Australia,10,54,1.38125
56,Martelle,Tuppeny,Female,52,2/3/1981,42,Middle Age,Marketing Assistant,Manufacturing,Mass Customer,N,No,9,261 Grayhawk Way,2226,NSW,Australia,10,54,1.38125
57,Briant,Ladley,Male,75,12/17/1979,43,Middle Age,Recruiter,Argiculture,Mass Customer,N,No,12,2 Schlimgen Terrace,2750,NSW,Australia,8,57,1.375
58,Marylou,Kirkup,Female,51,10/31/1972,50,Middle Age,VP Product Management,n/a,Mass Customer,N,No,14,76733 Sunbrook Terrace,3196,VIC,Australia,9,57,1.375
59,Whittaker,,Male,64,7/29/1966,57,Middle Age,Media Manager III,n/a,Mass Customer,N,Yes,8,683 Florence Way,3156,VIC,Australia,5,57,1.375
60,Lorrie,Antonelli,Male,47,2/11/1983,40,Middle Age,Cost Accountant,Financial Services,High Net Worth,N,Yes,17,06936 Bobwhite Circle,2257,NSW,Australia,7,57,1.375
61,Jedediah,Kedie,Male,31,12/29/1971,51,Middle Age,Developer I,Argiculture,Mass Customer,N,Yes,9,283 Acker Drive,2763,NSW,Australia,9,62,1.36796875
62,Kaine,Smallcombe,Male,59,2/6/1942,81,Very Old,Senior Financial Analyst,Financial Services,High Net Worth,N,No,11,9 Mosinee Parkway,2072,NSW,Australia,10,62,1.36796875
63,Loise,Iltchev,Female,70,3/18/1967,56,Middle Age,Electrical Engineer,Manufacturing,High Net Worth,N,Yes,17,45 Becker Place,4504,QLD,Australia,6,62,1.36796875
64,Cristen,Maroney,Female,22,11/21/1999,23,Young,Accountant IV,IT,High Net Worth,N,Yes,7,27 Karstens Crossing,4214,QLD,Australia,7,65,1.3625
65,Dorothy,Barnardo,Female,58,2/1/1983,40,Middle Age,Human Resources Manager,Retail,High Net Worth,N,No,12,9630 Cottonwood Avenue,2168,NSW,Australia,8,65,1.3625
66,Rosmunda,Duxbarry,Female,69,7/20/1996,27,Young,Executive Secretary,Property,Affluent Customer,N,Yes,5,989 Graedel Terrace,4208,QLD,Australia,11,65,1.3625
67,Rozamond,Riha,Female,54,10/7/1984,38,Young,Account Representative I,Manufacturing,Affluent Customer,N,Yes,16,76 Bartelt Center,4078,QLD,Australia,7,68,1.3546875
68,Gunner,Petti,Male,62,6/8/1999,24,Young,Executive Secretary,Financial Services,High Net Worth,N,Yes,3,29778 Mendota Drive,4036,QLD,Australia,5,68,1.3546875
69,Vivienne,Crayden,Female,82,9/18/1988,34,Young,Associate Professor,n/a,High Net Worth,N,Yes,6,69 Algoma Center,4173,QLD,Australia,7,68,1.3546875
70,Sherilyn,Canero,Female,11,8/3/1996,27,Young,Dental Hygienist,Health,High Net Worth,N,Yes,13,8288 Lyons Way,2484,NSW,Australia,7,68,1.3546875
71,Bessie,Roscow,Female,78,8/4/1994,29,Young,GIS Technical Architect,Financial Services,Mass Customer,N,No,9,4185 Florence Trail,2121,NSW,Australia,10,72,1.35
72,Kevina,Ferandez,Female,73,9/21/1999,23,Young,Assistant Professor,Financial Services,High Net Worth,N,No,15,9608 Heffernan Drive,4068,QLD,Australia,9,72,1.35
73,Yancy,Clementet,Male,5,2/16/1968,55,Middle Age,Mechanical Systems Engineer,n/a,High Net Worth,N,No,15,9 Union Center,2147,NSW,Australia,9,72,1.35
74,Mabelle,Wellbelove,Female,76,4/21/1958,65,Old,,Financial Services,Affluent Customer,N,Yes,19,800 Emmet Park,2219,NSW,Australia,9,72,1.35
75,Hasheem,Groucock,Male,98,9/17/1974,48,Middle Age,Budget/Accounting Analyst IV,Manufacturing,High Net Worth,N,Yes,10,12351 Spenser Pass,2034,NSW,Australia,12,72,1.35
76,Tobias,Woodhams,Male,0,4/15/1961,62,Old,Research Nurse,Health,Mass Customer,N,No,17,4 Valley Edge Plaza,2759,NSW,Australia,9,77,1.34140625
77,Glennis,Flintoff,Female,36,10/22/1956,66,Old,Speech Pathologist,Health,Affluent Customer,N,Yes,13,1601 Rutledge Lane,3030,VIC,Australia,7,78,1.3375
78,Chanda,Mensler,Female,15,1/14/1972,51,Middle Age,Computer Systems Analyst IV,Manufacturing,Mass Customer,N,Yes,13,0 Mockingbird Plaza,2212,NSW,Australia,10,78,1.3375
79,Katheryn,Kinner,Female,15,11/28/1973,49,Middle Age,Analyst Programmer,Entertainment,High Net Worth,N,No,6,1665 Kenwood Center,2518,NSW,Australia,6,78,1.3375
80,Sumner,Carrivick,Male,53,4/9/1995,28,Young,Desktop Support Technician,Manufacturing,Mass Customer,N,No,15,5 4th Center,2097,NSW,Australia,12,78,1.3375
81,Valerie,Pickover,Female,34,9/8/1965,58,Middle Age,Editor,Financial Services,Mass Customer,N,No,9,92214 Spenser Road,2756,NSW,Australia,8,78,1.3375
82,Esther,Rooson,Female,14,2/22/1981,42,Middle Age,,Financial Services,Mass Customer,N,No,5,5186 Main Trail,2046,NSW,Australia,9,78,1.3375
83,Gardie,Crellim,Male,58,9/12/1975,48,Middle Age,Biostatistician IV,Manufacturing,High Net Worth,N,No,8,564 Forest Dale Avenue,3161,VIC,Australia,12,84,1.328125
84,Sean,O'Loughlin,Male,48,3/22/1961,62,Old,Database Administrator III,Manufacturing,High Net Worth,N,Yes,16,83 Old Gate Point,2576,NSW,Australia,10,85,1.325
85,Pietra,Buckleigh,Female,9,4/29/1949,74,Old,Engineer III,n/a,High Net Worth,N,No,13,387 Dixon Alley,2024,NSW,Australia,10,85,1.325
86,Marysa,Rouchy,Female,8,2/15/1999,24,Young,Assistant Media Planner,Entertainment,Affluent Customer,N,No,5,411 Twin Pines Way,2026,NSW,Australia,9,85,1.325
87,Kahaleel,,Male,5,11/1/1942,80,Very Old,GIS Technical Architect,n/a,High Net Worth,N,No,13,12 Arapahoe Park,2035,NSW,Australia,12,88,1.31484375
88,Ossie,Midden,Male,49,2/10/1950,73,Old,Physical Therapy Assistant,Manufacturing,Mass Customer,N,Yes,14,4915 Debra Center,2479,NSW,Australia,9,89,1.3125
89,Sid,Carlone,Male,24,8/18/1971,52,Middle Age,Structural Engineer,Health,Affluent Customer,N,No,16,76 Sunnyside Avenue,4670,QLD,Australia,2,89,1.3125
90,Ludovico,Juster,Male,93,4/19/1992,31,Young,Environmental Specialist,n/a,Affluent Customer,N,No,15,1 Talisman Avenue,2125,NSW,Australia,10,89,1.3125
91,Patricia,Everix,Female,34,2/19/1978,45,Middle Age,Director of Sales,Health,Mass Customer,N,No,19,91164 Washington Terrace,2263,NSW,Australia,7,89,1.3125
92,Andromache,Bonafacino,Female,84,9/1/1977,46,Middle Age,,Retail,Mass Customer,N,No,11,74 Carpenter Street,2015,NSW,Australia,9,89,1.3125
93,Levy,Abramamov,Male,94,9/21/1952,70,Old,Teacher,n/a,Affluent Customer,N,Yes,14,6776 Anderson Center,4037,QLD,Australia,8,89,1.3125
94,Nobe,McAughtry,Male,25,12/14/1978,44,Middle Age,,n/a,Mass Customer,N,No,12,1 Orin Hill,4510,QLD,Australia,5,89,1.3125
95,Jehu,Prestedge,Male,91,10/20/1999,23,Young,,Manufacturing,High Net Worth,N,Yes,8,88 Annamark Avenue,2138,NSW,Australia,12,96,1.3
96,Symon,Mawne,Male,18,2/8/1943,80,Very Old,Human Resources Assistant IV,Property,Mass Customer,N,Yes,15,37439 High Crossing Circle,3350,VIC,Australia,4,96,1.3
97,Karlik,Penchen,Male,60,10/31/1994,28,Young,Nurse Practicioner,Retail,Mass Customer,N,No,11,5 Nevada Point,4017,QLD,Australia,6,96,1.3
98,Bengt,Bilson,Male,26,11/2/1972,50,Middle Age,Structural Engineer,Manufacturing,High Net Worth,N,No,11,67 Grayhawk Circle,2232,NSW,Australia,10,99,1.296875
99,Evangelin,Boc,Female,30,5/9/2000,23,Young,Structural Analysis Engineer,Manufacturing,High Net Worth,N,Yes,14,0 Meadow Ridge Street,3173,VIC,Australia,8,99,1.296875
100,Hanny,Treven,Female,84,1/22/1991,32,Young,Associate Professor,Retail,Mass Customer,N,No,3,5 Quincy Street,4118,QLD,Australia,4,99,1.296875
101,Gina,Mallon,Female,56,2/11/1994,29,Young,Dental Hygienist,Health,Mass Customer,N,No,12,13025 Johnson Plaza,4670,QLD,Australia,2,102,1.28828125
102,Reynold,Elman,Male,19,1/18/1940,83,Very Old,Marketing Manager,Manufacturing,Mass Customer,N,No,9,966 Sunnyside Center,2390,NSW,Australia,2,102,1.28828125
103,Flossy,Concannon,Female,64,10/20/1980,42,Middle Age,Staff Accountant IV,Financial Services,Affluent Customer,N,No,8,802 Mallory Park,3919,VIC,Australia,2,104,1.2875
104,Cristen,Wiltshire,Female,59,10/20/1961,61,Old,VP Sales,Financial Services,High Net Worth,N,Yes,15,93 Judy Drive,3047,VIC,Australia,6,104,1.2875
105,Griffith,Escot,Male,50,10/23/1946,76,Old,Accountant III,IT,Mass Customer,N,Yes,16,94 Manitowish Court,4116,QLD,Australia,3,104,1.2875
106,Jamie,Jiruca,Female,21,6/16/1963,60,Old,Recruiting Manager,Argiculture,Mass Customer,N,No,18,5013 Erie Crossing,2230,NSW,Australia,9,104,1.2875
107,Lyon,Brittan,Male,14,4/23/1972,51,Middle Age,Sales Representative,Retail,High Net Worth,N,No,19,540 Sachs Road,3153,VIC,Australia,8,104,1.2875
108,Aridatha,Sephton,Female,95,10/22/1961,61,Old,Human Resources Assistant II,n/a,Mass Customer,N,No,5,422 Forster Circle,2340,NSW,Australia,1,104,1.2875
109,Michal,Bryan,Female,1,11/9/1969,53,Middle Age,,Manufacturing,Mass Customer,N,Yes,16,4275 Bluestem Pass,4000,QLD,Australia,8,104,1.2875
110,Franciska,Stigell,Female,95,11/15/1968,54,Middle Age,Food Chemist,Health,Mass Customer,N,Yes,7,6 Anderson Junction,3802,VIC,Australia,7,111,1.28125
111,Jordan,Clampe,Male,37,12/9/1939,83,Very Old,Staff Scientist,Financial Services,Mass Customer,N,Yes,11,276 Westend Road,4207,QLD,Australia,5,111,1.28125
112,David,Napoleon,Male,72,11/5/1961,61,Old,Structural Engineer,n/a,High Net Worth,N,No,14,69 Garrison Point,2223,NSW,Australia,11,111,1.28125
113,Meriel,Tapp,Female,0,8/13/1995,28,Young,VP Sales,IT,Mass Customer,N,No,5,65 Milwaukee Hill,3280,VIC,Australia,2,114,1.275
114,Dolley,Starmont,Female,53,11/8/1977,45,Middle Age,Geologist IV,Manufacturing,Affluent Customer,N,No,18,4252 Dovetail Pass,4129,QLD,Australia,6,114,1.275
115,Frederik,Milan,Male,45,11/13/1997,25,Young,,Health,Mass Customer,N,No,5,56 Riverside Street,2546,NSW,Australia,5,114,1.275
116,Rollo,Louedey,Male,64,7/9/1946,77,Old,Information Systems Manager,Telecommunications,Affluent Customer,N,Yes,17,7 Cascade Park,2089,NSW,Australia,9,114,1.275
117,Jerrine,Cosbey,Female,21,1/11/1978,45,Middle Age,Junior Executive,Financial Services,High Net Worth,N,Yes,6,29307 Russell Avenue,3094,VIC,Australia,9,114,1.275
118,Roddy,Rubinshtein,Male,37,10/8/1987,35,Young,Nurse Practicioner,Retail,Mass Customer,N,Yes,4,3 Mcguire Crossing,4510,QLD,Australia,7,114,1.275
119,Viki,Coutts,Female,2,12/14/1952,70,Old,Automation Specialist II,Property,Mass Customer,N,Yes,7,6 Golf View Alley,2287,NSW,Australia,4,120,1.2625
120,Ashby,Bispham,Male,71,10/29/1981,41,Middle Age,Software Consultant,Retail,Affluent Customer,N,No,4,83716 Russell Lane,2145,NSW,Australia,8,120,1.2625
121,Alexander,Broadbent,Male,57,5/28/1997,26,Young,Desktop Support Technician,n/a,Mass Customer,N,No,9,265 Stephen Trail,2209,NSW,Australia,10,120,1.2625
122,Teddy,Lagadu,Female,86,7/20/1969,54,Middle Age,Design Engineer,n/a,High Net Worth,N,No,6,2 Charing Cross Trail,2759,NSW,Australia,8,120,1.2625
123,Peria,Rantoull,Female,3,3/13/1975,48,Middle Age,Financial Analyst,Financial Services,Mass Customer,N,No,4,8350 Moulton Terrace,4500,QLD,Australia,4,120,1.2625
124,Ludvig,Andren,Male,44,2/22/1941,82,Very Old,Media Manager III,n/a,High Net Worth,N,Yes,15,578 Waywood Circle,4306,QLD,Australia,5,125,1.26171875
125,Elsworth,Abbitt,Male,71,2/8/1956,67,Old,,Health,Mass Customer,N,Yes,6,9722 Northport Way,3500,VIC,Australia,3,125,1.26171875
126,Rebeca,Aggas,Female,66,2/27/1953,70,Old,Social Worker,Health,Affluent Customer,N,No,21,7026 Katie Lane,3818,VIC,Australia,1,127,1.25
127,Ricki,Dobrowski,Male,13,3/10/1975,48,Middle Age,Civil Engineer,Manufacturing,Mass Customer,N,Yes,9,8 Eggendart Pass,2835,NSW,Australia,1,127,1.25
128,Georgetta,Lovett,Female,42,2/2/1940,83,Very Old,Editor,Retail,Mass Customer,N,No,12,1 Bluejay Place,4405,QLD,Australia,1,127,1.25
129,Bambi,Cogger,Female,51,7/12/1990,33,Young,Design Engineer,Retail,Affluent Customer,N,Yes,5,28970 Monument Lane,2560,NSW,Australia,7,127,1.25
130,Aurie,Rhead,Female,78,7/28/1962,61,Old,Geological Engineer,Manufacturing,Affluent Customer,N,Yes,5,235 Mendota Court,2650,NSW,Australia,2,127,1.25
131,Farris,Skettles,Male,38,7/3/1965,58,Middle Age,Payment Adjustment Coordinator,n/a,Mass Customer,N,Yes,13,49309 Redwing Lane,3240,VIC,Australia,7,132,1.2484375
132,Sharline,Abyss,Female,11,3/18/1960,63,Old,,n/a,Mass Customer,N,Yes,15,367 Bay Point,4011,QLD,Australia,4,133,1.2375
133,Nowell,Preddy,Male,29,7/23/1985,38,Young,,Manufacturing,Mass Customer,N,No,9,932 Glendale Avenue,2173,NSW,Australia,9,133,1.2375
134,Lacy,Drance,Female,27,2/5/1978,45,Middle Age,Graphic Designer,Manufacturing,Affluent Customer,N,Yes,14,492 Waywood Lane,2750,NSW,Australia,8,133,1.2375
135,Padraig,Snel,Male,89,11/8/1970,52,Middle Age,Staff Accountant II,n/a,Mass Customer,N,No,19,12683 Mifflin Point,2114,NSW,Australia,7,133,1.2375
136,Malorie,Votier,Female,90,5/29/1990,33,Young,Graphic Designer,Manufacturing,Affluent Customer,N,No,4,6160 Weeping Birch Hill,4509,QLD,Australia,5,133,1.2375
137,Shepperd,Ricards,Male,28,9/27/1967,55,Middle Age,Social Worker,Health,Mass Customer,N,Yes,16,7 Oakridge Lane,2284,NSW,Australia,4,133,1.2375
138,Daryl,Pauncefort,Female,12,6/18/1979,44,Middle Age,Community Outreach Specialist,Financial Services,Mass Customer,N,Yes,12,0 Dexter Parkway,2380,NSW,Australia,3,133,1.2375
139,Norina,Blakeway,Female,60,2/11/1980,43,Middle Age,Programmer Analyst II,Property,Mass Customer,N,Yes,3,75813 Lawn Lane,3081,VIC,Australia,8,133,1.2375
140,My,Chaston,Male,92,7/16/1966,57,Middle Age,Desktop Support Technician,Manufacturing,Affluent Customer,N,Yes,16,74613 Northport Park,3765,VIC,Australia,9,133,1.2375
141,Isak,Bergstram,Male,14,3/8/2001,22,Young,Pharmacist,Health,Affluent Customer,N,Yes,15,68 Karstens Pass,2176,NSW,Australia,9,142,1.23515625
142,Grannie,Cracker,Male,28,3/6/1949,74,Old,VP Marketing,Retail,Mass Customer,N,Yes,20,87254 Hermina Pass,4217,QLD,Australia,8,142,1.23515625
143,Welby,Lourenco,Male,6,12/27/1975,47,Middle Age,Senior Cost Accountant,Financial Services,High Net Worth,N,Yes,17,801 Atwood Alley,2138,NSW,Australia,9,144,1.234375
144,Glenn,Casbourne,Female,4,8/8/1981,42,Middle Age,Senior Editor,Manufacturing,Mass Customer,N,No,6,2 Morrow Alley,4207,QLD,Australia,1,144,1.234375
145,Nadiya,Balasini,Female,40,11/5/1950,72,Old,Sales Associate,Financial Services,Mass Customer,N,No,15,92934 Mallory Trail,2164,NSW,Australia,9,146,1.225
146,Tyne,Coate,Female,82,7/15/1965,58,Middle Age,Developer II,Manufacturing,Mass Customer,N,No,17,90820 Thackeray Street,2218,NSW,Australia,8,146,1.225
147,Christie,Anders,Male,38,10/2/1969,53,Middle Age,VP Marketing,Retail,Mass Customer,N,No,16,48 Ludington Plaza,2153,NSW,Australia,10,146,1.225
148,Agnella,Capener,Female,58,5/21/1969,54,Middle Age,Teacher,Health,High Net Worth,N,No,19,49185 Derek Circle,3977,VIC,Australia,6,146,1.225
149,Bernardine,Delmonti,Female,39,3/31/1971,52,Middle Age,,Property,Mass Customer,N,No,17,0721 Meadow Ridge Pass,2540,NSW,Australia,8,146,1.225
150,Daisy,Spowart,Female,60,12/18/1967,55,Middle Age,Staff Accountant I,Health,Affluent Customer,N,Yes,4,115 Westridge Road,4570,QLD,Australia,3,146,1.225
151,Denys,Minshall,Female,30,12/26/1961,61,Old,Environmental Tech,Manufacturing,Affluent Customer,N,Yes,14,7 Myrtle Lane,2324,NSW,Australia,8,152,1.221875
152,Archibald,Blessed,Male,61,2/10/1969,54,Middle Age,VP Sales,Financial Services,Mass Customer,N,Yes,18,7795 Memorial Drive,2016,NSW,Australia,11,153,1.21875
153,Feodor,Englishby,Male,54,8/14/1961,62,Old,Account Coordinator,Health,Mass Customer,N,No,11,24695 Boyd Road,3201,VIC,Australia,5,154,1.203125
154,Skippie,Yearsley,Male,6,9/4/1956,67,Old,Compensation Analyst,Financial Services,Mass Customer,N,No,9,95306 John Wall Avenue,4350,QLD,Australia,5,155,1.2
155,Bill,,Female,74,4/24/1963,60,Old,Human Resources Assistant II,Property,Mass Customer,N,Yes,19,6704 Pine View Lane,2170,NSW,Australia,9,155,1.2
156,Tessa,Friese,Female,89,10/24/1976,46,Middle Age,Health Coach II,Financial Services,Mass Customer,N,No,21,98158 Alpine Point,4212,QLD,Australia,9,157,1.1953125
157,Roseanne,Caruth,Female,16,5/25/1957,66,Old,Programmer Analyst III,Health,Mass Customer,N,No,7,33652 Lyons Alley,2763,NSW,Australia,9,158,1.1875
158,Tedra,Goodbanne,Female,4,1/15/1978,45,Middle Age,Senior Quality Engineer,n/a,Mass Customer,N,Yes,6,8 Debs Road,3934,VIC,Australia,9,158,1.1875
